review,label
Original product and great packaging,1
This is totally fake,0
This product is amazing and works perfectly,1
Cheap copy product,0
Very satisfied with the quality,1
Fake item received,0
Excellent build quality and great performance,1
Cheap copy product,0
Very satisfied with the quality,1
Horrible experience,0
Original product and great packaging,1
Terrible quality and not original,0
Very satisfied with the quality,1
Horrible experience,0
Product matches description exactly,1
Terrible quality and not original,0
"Five stars, will buy again",1
"Not as described, very bad",0
"Five stars, will buy again",1
Horrible experience,0
Excellent build quality and great performance,1
Terrible quality and not original,0
This product is amazing and works perfectly,1
"Not as described, very bad",0
This product is amazing and works perfectly,1
"Very disappointed, waste of money",0
Original product and great packaging,1
Seller is fraud,0
Product matches description exactly,1
Seller is fraud,0
"Five stars, will buy again",1
"Worst product ever, fake seller",0
Delivery was fast and product is authentic,1
Seller is fraud,0
"Five stars, will buy again",1
"Completely scam, do not buy",0
Product matches description exactly,1
"Worst product ever, fake seller",0
Original product and great packaging,1
Seller is fraud,0
"Five stars, will buy again",1
"Worst product ever, fake seller",0
Excellent build quality and great performance,1
Cheap copy product,0
Very satisfied with the quality,1
"Completely scam, do not buy",0
Very happy with my purchase,1
"Very disappointed, waste of money",0
Original product and great packaging,1
"Very disappointed, waste of money",0
Product matches description exactly,1
"Very disappointed, waste of money",0
Excellent build quality and great performance,1
Terrible quality and not original,0
Product matches description exactly,1
"Completely scam, do not buy",0
This product is amazing and works perfectly,1
"Completely scam, do not buy",0
Delivery was fast and product is authentic,1
Horrible experience,0
Worth every penny,1
Horrible experience,0
This product is amazing and works perfectly,1
Horrible experience,0
Highly recommend this seller,1
This is totally fake,0
"Five stars, will buy again",1
Horrible experience,0
Excellent build quality and great performance,1
"Worst product ever, fake seller",0
"Five stars, will buy again",1
Cheap copy product,0
This product is amazing and works perfectly,1
"Very disappointed, waste of money",0
Delivery was fast and product is authentic,1
This is totally fake,0
Excellent build quality and great performance,1
Fake item received,0
"Five stars, will buy again",1
"Not as described, very bad",0
Excellent build quality and great performance,1
"Worst product ever, fake seller",0
Original product and great packaging,1
Fake item received,0
Worth every penny,1
"Worst product ever, fake seller",0
Worth every penny,1
"Not as described, very bad",0
Original product and great packaging,1
"Worst product ever, fake seller",0
Highly recommend this seller,1
"Completely scam, do not buy",0
Product matches description exactly,1
Horrible experience,0
Delivery was fast and product is authentic,1
"Very disappointed, waste of money",0
This product is amazing and works perfectly,1
Fake item received,0
This product is amazing and works perfectly,1
This is totally fake,0
Very satisfied with the quality,1
Fake item received,0
Highly recommend this seller,1
"Very disappointed, waste of money",0
Delivery was fast and product is authentic,1
Cheap copy product,0
This product is amazing and works perfectly,1
"Completely scam, do not buy",0
Very satisfied with the quality,1
"Not as described, very bad",0
Delivery was fast and product is authentic,1
"Very disappointed, waste of money",0
Highly recommend this seller,1
Cheap copy product,0
Excellent build quality and great performance,1
Fake item received,0
Highly recommend this seller,1
Seller is fraud,0
Worth every penny,1
Seller is fraud,0
Worth every penny,1
This is totally fake,0
Very satisfied with the quality,1
Seller is fraud,0
Delivery was fast and product is authentic,1
"Very disappointed, waste of money",0
Product matches description exactly,1
Fake item received,0
Product matches description exactly,1
Horrible experience,0
This product is amazing and works perfectly,1
Horrible experience,0
Delivery was fast and product is authentic,1
Seller is fraud,0
"Five stars, will buy again",1
"Not as described, very bad",0
Worth every penny,1
Fake item received,0
Highly recommend this seller,1
"Completely scam, do not buy",0
Very happy with my purchase,1
Horrible experience,0
Original product and great packaging,1
"Not as described, very bad",0
Product matches description exactly,1
"Completely scam, do not buy",0
Delivery was fast and product is authentic,1
"Not as described, very bad",0
Original product and great packaging,1
"Completely scam, do not buy",0
This product is amazing and works perfectly,1
"Worst product ever, fake seller",0
Delivery was fast and product is authentic,1
This is totally fake,0
"Five stars, will buy again",1
"Not as described, very bad",0
Very happy with my purchase,1
"Very disappointed, waste of money",0
Very happy with my purchase,1
"Worst product ever, fake seller",0
Very happy with my purchase,1
Horrible experience,0
Very satisfied with the quality,1
